Date,Open,High,Low,Close,Adj Close,Volume,LogReturn
2018/6/11,22686.94922,22856.08008,22667.30078,22804.03906,22804.03906,55700,0.002235677
2018/6/12,22977.2207,23011.57031,22797.73047,22878.34961,22878.34961,63900,-0.001872804
2018/6/13,22896.16992,22993.25977,22895.31055,22966.38086,22966.38086,57000,0.001329723
2018/6/14,22842.96094,22898.39063,22738.60938,22738.60938,22738.60938,72100,-0.001988496
2018/6/15,22883.24023,22885.83984,22770.38086,22851.75,22851.75,88500,-0.000598056
2018/6/18,22806.57031,22806.89063,22601.13086,22680.33008,22680.33008,65000,-0.00241061
2018/6/19,22565.91992,22618.51953,22278.48047,22278.48047,22278.48047,79400,-0.005567477
2018/6/20,22338.5293,22581.40039,22167.16016,22555.42969,22555.42969,88900,0.004196528
2018/6/21,22523.2793,22782.00977,22491.08008,22693.03906,22693.03906,76000,0.003261038
2018/6/22,22456.44922,22535.65039,22414.17969,22516.83008,22516.83008,85900,0.001166163
2018/6/25,22543.56055,22556.55078,22312.78906,22338.15039,22338.15039,60600,-0.003975299
2018/6/26,22160.33008,22368.7793,22104.11914,22342,22342,71300,0.003545823
2018/6/27,22320.88086,22356.53906,22205.33984,22271.76953,22271.76953,65800,-0.000956606
2018/6/28,22195.18945,22299.39063,22038.40039,22270.39063,22270.39063,70000,0.001468978
2018/6/29,22314.4707,22332.82031,22145.48047,22304.50977,22304.50977,67900,-0.000193908
2018/7/2,22233.80078,22312.25,21784.48047,21811.92969,21811.92969,67100,-0.008319621
2018/7/3,21889.06055,21927.81055,21574.56055,21785.53906,21785.53906,76500,-0.002058812
2018/7/4,21679,21784,21604.17969,21717.03906,21717.03906,62200,0.000761367
2018/7/5,21697.43945,21751.5,21462.94922,21546.99023,21546.99023,66700,-0.00302187
2018/7/6,21647.66016,21866.16016,21642.96094,21788.14063,21788.14063,71600,0.002809208
2018/7/9,21838.5293,22105.94922,21825.75977,22052.17969,22052.17969,61200,0.004228135
2018/7/10,22215.33984,22321.59961,22196.89063,22196.89063,22196.89063,90700,-0.000360819
2018/7/11,22002.14063,22044.61914,21744.25,21932.21094,21932.21094,74900,-0.001382522
2018/7/12,22036.86914,22233.51953,22019.18945,22187.96094,22187.96094,64400,0.0029675
2018/7/13,22397.61914,22692.85938,22316.51953,22597.34961,22597.34961,72600,0.003855649
2018/7/16,22397.61914,22692.85938,22316.51953,22597.34961,22597.34961,0,0.003855649
2018/7/17,22605.73047,22832.2207,22575.41992,22697.35938,22697.35938,75800,0.001756789
2018/7/18,22917.51953,22949.32031,22794.18945,22794.18945,22794.18945,56500,-0.002343457
2018/7/19,22871.61914,22926.4707,22761.86914,22764.67969,22764.67969,62400,-0.002035367
2018/7/20,22734.56055,22869.98047,22541.34961,22697.88086,22697.88086,69700,-0.000701252
2018/7/23,22480.33008,22507.16992,22341.86914,22396.99023,22396.99023,88000,-0.001613023
2018/7/24,22555.05078,22555.05078,22416.23047,22510.48047,22510.48047,70400,-0.000859044
2018/7/25,22594.2793,22645.66016,22547.14063,22614.25,22614.25,58700,0.000383696
2018/7/26,22711.58984,22717.15039,22549.76953,22586.86914,22586.86914,69600,-0.002391501
2018/7/27,22646.48047,22712.75,22593.19922,22712.75,22712.75,73200,0.001269004
2018/7/30,22613.30078,22631.32031,22518.93945,22544.83984,22544.83984,76200,-0.001316805
2018/7/31,22472.11914,22678.06055,22352.21094,22553.7207,22553.7207,115400,0.001574169
2018/8/1,22642.17969,22775.4707,22615.98047,22746.69922,22746.69922,100800,0.002000152
2018/8/2,22676.73047,22754.73047,22464.81055,22512.5293,22512.5293,94500,-0.003156147
2018/8/3,22585.53906,22613.5,22490.57031,22525.17969,22525.17969,71700,-0.001162196
2018/8/6,22536.05078,22635.67969,22486.74023,22507.32031,22507.32031,67000,-0.000554021
2018/8/7,22514.31055,22666.67969,22499.05078,22662.74023,22662.74023,69400,0.002853769
2018/8/8,22666.56055,22800.60938,22610.28906,22644.31055,22644.31055,72800,-0.000426522
2018/8/9,22591.53906,22648.88086,22497.99023,22598.39063,22598.39063,61800,0.000131693
2018/8/10,22606.91016,22608.85938,22272.68945,22298.08008,22298.08008,73900,-0.005973738
2018/8/13,22117.57031,22124.59961,21851.32031,21857.42969,21857.42969,77800,-0.005138327
2018/8/14,22053.07031,22356.08008,22047.18945,22356.08008,22356.08008,59700,0.005926594
2018/8/15,22368.11914,22380.2793,22110.28906,22204.2207,22204.2207,61200,-0.003193932
2018/8/16,21980.82031,22240.41992,21871.69922,22192.03906,22192.03906,77900,0.004153312
2018/8/17,22313.18945,22340.94922,22244.09961,22270.38086,22270.38086,56100,-0.000834009
2018/8/20,22267.07031,22288.31055,22150.75,22199,22199,46800,-0.001329669
2018/8/21,22110.53906,22306.83008,22053.14063,22219.73047,22219.73047,54500,0.002139456
2018/8/22,22270.03906,22390.19922,22162.81055,22362.55078,22362.55078,57100,0.001800361
2018/8/23,22420.66992,22463.0293,22377.88086,22410.82031,22410.82031,50100,-0.000190832
2018/8/24,22484.00977,22602.24023,22452.41992,22601.76953,22601.76953,50400,0.002268677
2018/8/27,22693.68945,22838.06055,22682.39063,22799.64063,22799.64063,50200,0.002022894
2018/8/28,22967.74023,23006.76953,22813.4707,22813.4707,22813.4707,60700,-0.002926906
2018/8/29,22820.85938,22968.17969,22819.9707,22848.2207,22848.2207,58800,0.00052039
2018/8/30,23020.17969,23032.16992,22832.83008,22869.5,22869.5,73900,-0.00285204
2018/8/31,22733.25,22890.60938,22678.0293,22865.15039,22865.15039,68100,0.002512534
2018/9/3,22819.16992,22820.48047,22684.42969,22707.38086,22707.38086,49900,-0.002132798
2018/9/4,22740.05078,22753.17969,22612.15039,22696.90039,22696.90039,52300,-0.000824878
2018/9/5,22663.80078,22692.25,22570.51953,22580.83008,22580.83008,65400,-0.001592841
2018/9/6,22458.9707,22535.33984,22416.63086,22487.93945,22487.93945,62200,0.000559815
2018/9/7,22351.83984,22372.89063,22172.90039,22307.06055,22307.06055,69800,-0.000870931
2018/9/10,22253.65039,22396.88086,22249.60938,22373.08984,22373.08984,55700,0.002324706
2018/9/11,22469.7793,22667.84961,22457.09961,22664.68945,22664.68945,76500,0.003750966
2018/9/12,22702.71094,22709.36914,22522.16992,22604.60938,22604.60938,79800,-0.001880713
2018/9/13,22657.94922,22858.41016,22643.88086,22821.32031,22821.32031,75000,0.003120168
2018/9/14,23035.7793,23105.2793,22965.48047,23094.66992,23094.66992,102700,0.001108851
2018/9/17,23035.7793,23105.2793,22965.48047,23094.66992,23094.66992,102700,0.001108851
2018/9/18,23042.18945,23481.5293,23039.25977,23420.53906,23420.53906,90600,0.007073144
2018/9/19,23754.96094,23842.05078,23672.51953,23672.51953,23672.51953,93600,-0.001509837
2018/9/20,23752.78906,23781.75,23582.15039,23674.92969,23674.92969,101600,-0.001425914
2018/9/21,23848.63086,23971.41016,23764.05078,23869.92969,23869.92969,120600,0.000387688
2018/9/24,23848.63086,23971.41016,23764.05078,23869.92969,23869.92969,120600,0.000387688
2018/9/25,23881.84961,23950.98047,23808.94922,23940.25977,23940.25977,100800,0.001060899
2018/9/26,23846.59961,24033.78906,23833.91992,24033.78906,24033.78906,84200,0.003395785
2018/9/27,23946.42969,24089.32031,23778.03906,23796.74023,23796.74023,76200,-0.002723301
2018/9/28,24080.00977,24286.09961,24021.26953,24120.03906,24120.03906,90700,0.000721348
2018/10/1,24173.36914,24306.53906,24123.5,24245.75977,24245.75977,65000,0.001298614
2018/10/2,24376.16992,24448.07031,24217.25977,24270.61914,24270.61914,80500,-0.001884613
2018/10/3,24219.18945,24260.63086,24030.58984,24110.96094,24110.96094,71300,-0.001945085
2018/10/4,24242.06055,24247.82031,23923.25977,23975.61914,23975.61914,89400,-0.0047997
2018/10/5,23781.75977,23928.61914,23730.18945,23783.7207,23783.7207,84600,3.58085E-05
2018/10/8,23781.75977,23928.61914,23730.18945,23783.7207,23783.7207,84600,3.58085E-05
2018/10/9,23550.4707,23587.05078,23442.46094,23469.39063,23469.39063,86500,-0.001497778
2018/10/10,23538.91992,23589.38086,23373.53906,23506.03906,23506.03906,70600,-0.000607078
2018/10/11,23043.36914,23051.18945,22459.01953,22590.85938,22590.85938,115300,-0.008613225
2018/10/12,22323.42969,22711.13086,22323.42969,22694.66016,22694.66016,99500,0.007162765
2018/10/15,22501.33008,22520.58984,22261.91992,22271.30078,22271.30078,79900,-0.004462607
2018/10/16,22298.19922,22549.24023,22269.5293,22549.24023,22549.24023,70100,0.004862122
2018/10/17,22806.58984,22959.41016,22765.58008,22841.11914,22841.11914,72100,0.000657027
2018/10/18,22871.2793,22873.13086,22637.28906,22658.16016,22658.16016,64300,-0.004065815
2018/10/19,22342,22551.66992,22212.57031,22532.08008,22532.08008,67400,0.003679239
2018/10/22,22374.21094,22672.25,22271.58984,22614.82031,22614.82031,63000,0.004645413
2018/10/23,22404.14063,22410.15039,21993.07031,22010.7793,22010.7793,80200,-0.007692871
2018/10/24,22167.75977,22207.08984,21911.41992,22091.17969,22091.17969,83900,-0.001502898
2018/10/25,21676.83008,21703.21094,21204.40039,21268.73047,21268.73047,93600,-0.008254206
2018/10/26,21440.83984,21476.66016,20971.92969,21184.59961,21184.59961,92900,-0.005221533
2018/10/29,21323.60938,21465.99023,21109.9707,21149.80078,21149.80078,70800,-0.003554437
2018/10/30,21049.51953,21568.40039,21035.88086,21457.28906,21457.28906,116900,0.008332665
2018/10/31,21569.56055,21920.46094,21530.39063,21920.46094,21920.46094,105000,0.007008385
2018/11/1,21906.41016,21906.41016,21628.44922,21687.65039,21687.65039,101900,-0.004358711
2018/11/2,21761.58008,22308.41992,21751.33008,22243.66016,22243.66016,101900,0.009515826
2018/11/5,22002.4707,22051.65039,21865.98047,21898.99023,21898.99023,78700,-0.002047361
2018/11/6,22018.86914,22160.83008,21994.2793,22147.75,22147.75,0,0.002534602
2018/11/7,22189.74023,22444.65039,21996.93945,22085.80078,22085.80078,96300,-0.002039068
2018/11/8,22446.00977,22583.42969,22421,22486.91992,22486.91992,81900,0.000790826
2018/11/9,22471.31055,22494.58008,22226.00977,22250.25,22250.25,78100,-0.004293507
2018/11/12,22121.69922,22324.00977,22046.28906,22269.88086,22269.88086,59300,0.002899411
2018/11/13,21885.24023,21892.28906,21484.65039,21810.51953,21810.51953,85700,-0.001485308
2018/11/14,21851.13086,21990.41016,21764.88086,21846.48047,21846.48047,75200,-9.2437E-05
2018/11/15,21670.34961,21818.73047,21613.5293,21803.61914,21803.61914,0,0.002662669
2018/11/16,21804.90039,21873.74023,21663.99023,21680.33984,21680.33984,74900,-0.002488021
2018/11/19,21679.0293,21852.91992,21665.28906,21821.16016,21821.16016,72100,0.002838005
2018/11/20,21582.68945,21687.11914,21526.94922,21583.11914,21583.11914,82500,8.64625E-06
2018/11/21,21286.81055,21555.60938,21243.38086,21507.53906,21507.53906,77300,0.004480125
2018/11/22,21582.4707,21684.64063,21484.98047,21646.55078,21646.55078,65900,0.001287545
2018/11/23,21582.4707,21684.64063,21484.98047,21646.55078,21646.55078,65900,0.001287545
2018/11/26,21647.68945,21838.09961,21622.59961,21812,21812,78000,0.00328394
2018/11/27,21967.98047,22006.83008,21816.05078,21952.40039,21952.40039,74000,-0.000308119
2018/11/28,22036.7207,22216.98047,22032.7207,22177.01953,22177.01953,77600,0.002756212
2018/11/29,22360.98047,22437.94922,22241.16992,22262.59961,22262.59961,69300,-0.001914967
2018/11/30,22274.9707,22362.19922,22231.96094,22351.06055,22351.06055,104100,0.001480994
2018/12/3,22629.39063,22698.78906,22550.28906,22574.75977,22574.75977,70500,-0.001049722
2018/12/4,22533.9707,22576.61914,22033.41016,22036.05078,22036.05078,89600,-0.009703961
2018/12/5,21755.16992,21979.17969,21708.82031,21919.33008,21919.33008,83700,0.003264797
2018/12/6,21766.5,21805.01953,21307.7207,21501.61914,21501.61914,87600,-0.005317436
2018/12/7,21643.75,21734.93945,21506.44922,21678.67969,21678.67969,78100,0.00070032
2018/12/10,21319.4707,21365.7793,21169.96094,21219.5,21219.5,79000,-0.002041272
2018/12/11,21273.03906,21279.01953,21062.31055,21148.01953,21148.01953,87500,-0.002559835
2018/12/12,21348.40039,21631.4707,21320.7207,21602.75,21602.75,89600,0.0051437
2018/12/13,21755.13086,21871.33984,21675.66016,21816.18945,21816.18945,79200,0.001217196
2018/12/14,21638.96094,21751.31055,21353.93945,21374.83008,21374.83008,102800,-0.005333732
2018/12/17,21391.73047,21563.26953,21363.66992,21506.88086,21506.88086,63400,0.002331511
2018/12/18,21275.50977,21330.35938,21101.43945,21115.44922,21115.44922,80500,-0.003279649
2018/12/19,21107.16992,21168.61914,20880.73047,20987.91992,20987.91992,81300,-0.002460608
2018/12/20,20779.92969,20841.33984,20282.92969,20392.58008,20392.58008,96300,-0.008171897
2018/12/21,20310.5,20334.73047,20006.66992,20166.18945,20166.18945,116600,-0.003096772
2018/12/24,20310.5,20334.73047,20006.66992,20166.18945,20166.18945,116600,-0.003096772
2018/12/25,19785.42969,19785.42969,19117.96094,19155.74023,19155.74023,0,-0.014046547
2018/12/26,19302.58984,19530.34961,18948.58008,19327.06055,19327.06055,79900,0.000550225
2018/12/27,19706.18945,20211.57031,19701.75977,20077.61914,20077.61914,93000,0.008109558
2018/12/28,19957.88086,20084.38086,19900.03906,20014.76953,20014.76953,70600,0.001236168
2018/12/31,19957.88086,20084.38086,19900.03906,20014.76953,20014.76953,70600,0.001236168
2019/1/1,19957.88086,20084.38086,19900.03906,20014.76953,20014.76953,70600,0.001236168
2019/1/2,19957.88086,20084.38086,19900.03906,20014.76953,20014.76953,70600,0.001236168
2019/1/3,19957.88086,20084.38086,19900.03906,20014.76953,20014.76953,70600,0.001236168
2019/1/4,19655.13086,19692.58008,19241.36914,19561.96094,19561.96094,91600,-0.002063552
2019/1/7,19944.60938,20266.2207,19920.80078,20038.9707,20038.9707,81500,0.002049875
2019/1/8,20224.66992,20347.91992,20106.35938,20204.03906,20204.03906,86400,-0.000443243
2019/1/9,20366.30078,20494.34961,20331.19922,20427.06055,20427.06055,72800,0.001293723
2019/1/10,20270.88086,20345.91992,20101.92969,20163.80078,20163.80078,73700,-0.002300223
2019/1/11,20296.44922,20389.89063,20294.74023,20359.69922,20359.69922,77700,0.001351291
2019/1/14,20296.44922,20389.89063,20294.74023,20359.69922,20359.69922,77700,0.001351291
2019/1/15,20264.82031,20571.2793,20204.42969,20555.28906,20555.28906,78300,0.006180831
2019/1/16,20575.7207,20580.25,20323.32031,20442.75,20442.75,69500,-0.002815739
2019/1/17,20544.23047,20571.75,20342.46094,20402.26953,20402.26953,63600,-0.003011398
2019/1/18,20472.81055,20682.11914,20454.13086,20666.07031,20666.07031,64700,0.004080435
2019/1/21,20848.38086,20892.67969,20678.25977,20719.33008,20719.33008,61200,-0.002696623
2019/1/22,20770.06055,20805.92969,20558.30078,20622.91016,20622.91016,57100,-0.003087813
2019/1/23,20453.43945,20686.28906,20438.2207,20593.7207,20593.7207,0,0.002968469
2019/1/24,20506.24023,20620.7207,20467.58984,20574.63086,20574.63086,61400,0.001446011
2019/1/25,20598.64063,20844.31055,20598.64063,20773.56055,20773.56055,68400,0.003672379
2019/1/28,20746.28906,20759.48047,20624.55078,20649,20649,56800,-0.0020414
2019/1/29,20555.43945,20673.66016,20406.2207,20664.64063,20664.64063,63100,0.002301091
2019/1/30,20701.61914,20706.26953,20527.5293,20556.53906,20556.53906,72100,-0.003054317
2019/1/31,20832.91016,20869.41992,20682.91016,20773.49023,20773.49023,75700,-0.001240471
2019/2/1,20797.0293,20929.63086,20741.98047,20788.39063,20788.39063,82200,-0.000180435
2019/2/4,20831.90039,20922.58008,20823.67969,20883.76953,20883.76953,66600,0.001080001
2019/2/5,20960.4707,20981.23047,20823.17969,20844.44922,20844.44922,65500,-0.002410607
2019/2/6,20928.86914,20971.66016,20860.99023,20874.06055,20874.06055,68900,-0.001138824
2019/2/7,20812.2207,20844.76953,20665.50977,20751.2793,20751.2793,70600,-0.001273547
2019/2/8,20510.5,20562.39063,20315.31055,20333.16992,20333.16992,86200,-0.003771158
2019/2/11,20510.5,20562.39063,20315.31055,20333.16992,20333.16992,86200,-0.003771158
2019/2/12,20442.55078,20885.88086,20428.57031,20864.21094,20864.21094,84100,0.00886688
2019/2/13,21029.92969,21213.74023,20992.88086,21144.48047,21144.48047,78600,0.002359198
2019/2/14,21147.89063,21235.61914,21102.16016,21139.71094,21139.71094,64500,-0.000168011
2019/2/15,21051.50977,21051.50977,20853.33008,20900.63086,20900.63086,65600,-0.003123853
2019/2/18,21217.32031,21306.35938,21189.9707,21281.84961,21281.84961,61800,0.001318837
2019/2/19,21256.58008,21344.16992,21217.16016,21302.65039,21302.65039,53600,0.000940247
2019/2/20,21346.03906,21494.84961,21315.39063,21431.49023,21431.49023,59700,0.001735071
2019/2/21,21422.31055,21553.34961,21318.74023,21464.23047,21464.23047,68400,0.000849012
2019/2/22,21376.35938,21451.23047,21348.66992,21425.50977,21425.50977,52400,0.000997422
2019/2/25,21567.66016,21590.0293,21505.07031,21528.23047,21528.23047,51800,-0.000794698
2019/2/26,21556.01953,21610.88086,21405.83984,21449.39063,21449.39063,56400,-0.00215361
2019/2/27,21504.60938,21578.81055,21492.65039,21556.50977,21556.50977,67700,0.001046887
2019/2/28,21536.55078,21536.55078,21364.08984,21385.16016,21385.16016,71500,-0.003063642
2019/3/1,21490.01953,21641.58008,21490.01953,21602.68945,21602.68945,62600,0.002271012
2019/3/4,21812.81055,21860.39063,21740.91992,21822.03906,21822.03906,59100,0.000183701
2019/3/5,21712.80078,21798.38086,21659.03906,21726.2793,21726.2793,59200,0.000269511
2019/3/6,21659.0293,21684.59961,21550.44922,21596.81055,21596.81055,57100,-0.00124937
2019/3/7,21456.88086,21472.16016,21402.11914,21456.00977,21456.00977,75200,-1.76316E-05
2019/3/8,21339.16992,21359.32031,20993.07031,21025.56055,21025.56055,99800,-0.006429939
2019/3/11,21062.75,21145.93945,20938,21125.08984,21125.08984,55600,0.001283492
2019/3/12,21361.60938,21568.48047,21348.81055,21503.68945,21503.68945,67800,0.00287901
2019/3/13,21425.76953,21474.16992,21198.99023,21290.24023,21290.24023,66200,-0.002755867
2019/3/14,21474.58008,21522.75,21287.01953,21287.01953,21287.01953,64100,-0.003809822
2019/3/15,21376.73047,21521.67969,21374.84961,21450.84961,21450.84961,83200,0.001503217
2019/3/18,21576.35938,21612.66992,21500.32031,21584.5,21584.5,55200,0.000163826
2019/3/19,21558.42969,21585.55078,21425.78906,21566.84961,21566.84961,59900,0.000169586
2019/3/20,21548.65039,21614.16992,21499.16016,21608.91992,21608.91992,65300,0.001212985
2019/3/21,21548.65039,21614.16992,21499.16016,21608.91992,21608.91992,65300,0.001212985
2019/3/22,21713.25977,21713.25977,21542.0293,21627.33984,21627.33984,78900,-0.001721923
2019/3/25,21267.41016,21275.42969,20911.57031,20977.10938,20977.10938,77700,-0.005968964
2019/3/26,21174.33984,21460.99023,21174.33984,21428.39063,21428.39063,101300,0.005179676
2019/3/27,21353.60938,21388.58984,21242.51953,21378.73047,21378.73047,76000,0.000510618
2019/3/28,21191.32031,21191.32031,20974.18945,21033.75977,21033.75977,71100,-0.003241107
2019/3/29,21228.50977,21267.25,21149.41992,21205.81055,21205.81055,61600,-0.000464631
2019/4/1,21500.89063,21682.93945,21471.11914,21509.0293,21509.0293,77400,0.000164361
2019/4/2,21744.64063,21744.64063,21490.56055,21505.31055,21505.31055,71000,-0.004806516
2019/4/3,21563.64063,21722.7207,21489.94922,21713.21094,21713.21094,68500,0.003001966
2019/4/4,21724.68945,21787.59961,21662.90039,21724.94922,21724.94922,57900,5.19291E-06
2019/4/5,21743.14063,21839.17969,21731.33984,21807.5,21807.5,58500,0.001283606
2019/4/8,21900.55078,21900.55078,21740.5293,21761.65039,21761.65039,54600,-0.002763208
2019/4/9,21750.28906,21811.88086,21698.41992,21802.58984,21802.58984,54300,0.001043052
2019/4/10,21579.67969,21687.57031,21571.66992,21687.57031,21687.57031,58700,0.002165906
2019/4/11,21662.65039,21721.41992,21627.86914,21711.38086,21711.38086,61200,0.000975855
2019/4/12,21782.34961,21878.7793,21698.71094,21870.56055,21870.56055,61600,0.00175519
2019/4/15,22122.9707,22211.0293,22102.92969,22169.10938,22169.10938,66100,0.000904802
2019/4/16,22108.15039,22261.33008,22095.32031,22221.66016,22221.66016,57300,0.002224091
2019/4/17,22236.41016,22345.18945,22185.86914,22277.9707,22277.9707,75400,0.000810952
2019/4/18,22274.13086,22305.63086,22058.39063,22090.11914,22090.11914,67300,-0.003602709
2019/4/19,22238.07031,22250.36914,22162.23047,22200.56055,22200.56055,0,-0.000733159
2019/4/22,22188.61914,22280.18945,22099.38086,22217.90039,22217.90039,42900,0.00057274
2019/4/23,22241.74023,22268.36914,22119.93945,22259.74023,22259.74023,52000,0.000351328
2019/4/24,22356.83008,22362.91992,22125.48047,22200,22200,67900,-0.003057252
2019/4/25,22183.32031,22334.68945,22155.23047,22307.58008,22307.58008,63300,0.00242591
2019/4/26,22167.48047,22270.28906,22073.09961,22258.73047,22258.73047,71900,0.001784056
2019/5/7,22184.40039,22190.49023,21875.10938,21923.7207,21923.7207,90700,-0.005133434
2019/5/8,21628.03906,21639.11914,21514.84961,21602.58984,21602.58984,85700,-0.000511325
2019/5/9,21492.91016,21559.75977,21315.07031,21402.13086,21402.13086,96900,-0.001838208
2019/5/10,21431.81055,21584.08984,21175.33008,21344.91992,21344.91992,98500,-0.001764332
2019/5/13,21180.74023,21277.66016,21127.92969,21191.2793,21191.2793,74500,0.000216041
2019/5/14,20870.76953,21077.48047,20751.44922,21067.23047,21067.23047,90200,0.004068984
2019/5/15,21112.84961,21191.5293,20968.08008,21188.56055,21188.56055,84100,0.0015546
2019/5/16,21153.19922,21153.19922,20951.66992,21062.98047,21062.98047,82500,-0.001856235
2019/5/17,21246.85938,21398.84961,21199.98047,21250.08984,21250.08984,75800,6.60271E-05
2019/5/20,21305.9707,21430.06055,21282.65039,21301.73047,21301.73047,65100,-8.64403E-05
2019/5/21,21211.25977,21318.80078,21160.42969,21272.44922,21272.44922,70100,0.001251033
2019/5/22,21373.51953,21404.53906,21266.98047,21283.36914,21283.36914,64500,-0.001835665
2019/5/23,21180.24023,21209.56055,21072.7207,21151.14063,21151.14063,63900,-0.000597089
2019/5/24,20980.78906,21117.2207,20922,21117.2207,21117.2207,67700,0.002814941
2019/5/27,21148.46094,21232.38086,21113.75977,21182.58008,21182.58008,41600,0.000700089
2019/5/28,21187.16992,21297.69922,21177.26953,21260.14063,21260.14063,98500,0.001493183
2019/5/29,21055.41992,21071.73047,20884.60938,21003.36914,21003.36914,70000,-0.001074942
2019/5/30,20881.5,20942.5293,20809.28906,20942.5293,20942.5293,58700,0.001267439
2019/5/31,20785.21094,20823.09961,20581.58008,20601.18945,20601.18945,79100,-0.00386214
2019/6/3,20327.86914,20438.0293,20305.74023,20410.88086,20410.88086,67400,0.001769891
2019/6/4,20435.85938,20464.57031,20289.64063,20408.53906,20408.53906,69200,-0.000580988
2019/6/5,20667.89063,20800.64063,20646.15039,20776.09961,20776.09961,72300,0.002267864
2019/6/6,20745.83984,20842.2793,20745.83984,20774.03906,20774.03906,59600,0.000589923
2019/6/7,20859.7793,20907.76953,20816.58008,20884.71094,20884.71094,50700,0.000518759
2019/6/10,21095.40039,21150.4707,21077.94922,21134.41992,21134.41992,0,0.00080256
