"","d1.txt","d2.txt","d3.txt","speech1.txt","tdm.csv","Text_MR.R"
"abe",1,3,0,0,1,0
"ability",2,0,0,0,1,0
"abundant",1,0,0,0,1,0
"access",11,0,0,0,1,0
"accessible",2,0,0,0,1,0
"according",2,0,0,0,1,0
"account",4,0,0,0,1,0
"act",2,0,0,0,1,0
"action",3,2,1,0,1,0
"actions",4,1,0,0,1,0
"activities",2,0,0,0,1,0
"actors",1,0,0,0,1,0
"addition",1,0,0,0,1,0
"address",1,0,0,0,1,0
"administration",10,0,2,0,1,0
"administration’s",1,0,0,0,1,0
"advanced",2,0,0,0,1,0
"advocate",1,0,0,0,1,0
"affected",1,0,0,0,1,0
"africa",2,0,0,0,1,0
"agents",1,0,0,0,1,0
"aimed",1,0,0,0,1,0
"allegedly",2,0,0,0,1,0
"allies",1,0,0,0,1,0
"almost",1,0,0,0,1,0
"already",3,0,0,0,1,0
"also",7,2,2,1,1,0
"although",1,0,0,0,1,0
"america",7,0,0,4,1,0
"american",6,1,0,0,1,0
"america’s",2,0,0,0,1,0
"analysts",2,0,0,0,1,0
"another",1,0,0,0,1,0
"approximately",1,0,0,0,1,0
"april",2,0,0,0,1,0
"arabic",1,0,0,0,1,0
"area",2,0,0,0,1,0
"argentina",1,0,0,0,1,0
"argument",1,0,0,0,1,0
"arms",1,0,0,0,1,0
"around",1,0,0,0,1,0
"arrest",1,0,0,0,1,0
"arrested",1,0,0,0,1,0
"article",2,0,0,0,1,0
"asian",1,0,0,0,1,0
"associates",2,0,0,0,1,0
"attention",1,0,0,0,1,0
"attorneys",1,0,0,0,1,0
"authorities",2,0,0,0,1,0
"authority",1,1,0,0,1,0
"available",1,0,0,0,1,0
"awaiting",1,0,0,0,1,0
"awardwinning",2,0,0,0,1,0
"ayman",1,0,0,0,1,0
"back",4,0,3,6,1,0
"bad",1,0,0,0,1,0
"bank",7,0,0,0,1,0
"banking",2,0,0,0,1,0
"bank’s",1,0,0,0,1,0
"barack",1,0,0,0,1,0
"basic",2,0,0,0,1,0
"began",1,0,0,0,1,0
"begin",1,0,0,1,1,0
"begins",1,0,0,0,1,0
"behalf",1,0,0,0,1,0
"believed",2,0,0,0,1,0
"benefit",5,0,0,0,1,0
"benefiting",1,0,0,0,1,0
"benin",1,0,0,0,1,0
"bid",1,0,0,0,1,0
"billion",1,0,0,2,1,0
"blacklist",1,0,0,0,1,0
"body",1,0,0,0,1,0
"booming",1,0,0,0,1,0
"brazil",3,0,0,0,1,0
"brazilians",1,0,0,0,1,0
"brings",1,0,0,0,1,0
"broke",1,0,0,0,1,0
"budget",2,0,0,0,1,0
"built",1,0,0,0,1,0
"business",1,0,0,3,1,0
"businesses",6,0,0,0,1,0
"button",4,0,0,0,1,0
"buy",1,0,0,2,1,0
"calling",1,0,0,0,1,0
"calls",2,0,0,0,1,0
"campaign",2,0,0,4,1,0
"can",4,1,0,3,1,0
"canadian",5,0,0,0,1,0
"car",3,0,0,0,1,0
"cars",1,0,0,0,1,0
"cartels",5,0,0,0,1,0
"carvajal",1,0,0,0,1,0
"carvajal’s",2,0,0,0,1,0
"case",1,0,0,1,1,0
"cash",1,0,0,0,1,0
"cassandra",2,0,0,0,1,0
"casssandra",1,0,0,0,1,0
"cause",1,0,0,1,1,0
"chams",3,0,0,0,1,0
"charges",1,0,0,0,1,0
"chief",1,0,0,0,1,0
"civil",1,0,0,0,1,0
"clean",2,0,0,0,1,0
"clicking",4,0,0,0,1,0
"clients",1,0,0,0,1,0
"cocaine",1,0,0,0,1,0
"collusion",1,0,0,0,1,0
"colombia",1,0,0,0,1,0
"colombian",1,0,0,0,1,0
"combat",1,0,0,0,1,0
"combined",1,0,0,0,1,0
"coming",1,0,0,0,1,0
"community",2,0,0,1,1,0
"companies",3,0,0,0,1,0
"company",2,0,0,0,1,0
"complained",1,0,0,0,1,0
"complex",2,0,0,0,1,0
"complicated",1,0,0,0,1,0
"concern",3,0,0,0,1,0
"concerns",1,0,0,0,1,0
"concessions",1,0,0,0,1,0
"conference",2,0,0,1,1,0
"confidential",1,0,0,0,1,0
"confirms",1,0,0,0,1,0
"congress",1,0,0,0,1,0
"consequence",1,0,0,0,1,0
"consistent",1,0,0,0,1,0
"consolidate",1,0,0,0,1,0
"consort",1,0,0,0,1,0
"constitute",1,0,0,0,1,0
"content",2,0,0,0,1,0
"continue",1,0,1,0,1,0
"continuing",1,0,0,0,1,0
"contributes",1,0,0,0,1,0
"contributions",1,0,0,1,1,0
"convictions",1,0,0,0,1,0
"countries",1,0,0,4,1,0
"country",1,1,0,4,1,0
"crackdown",2,0,0,0,1,0
"create",1,0,0,0,1,0
"crime",1,0,0,0,1,0
"crimes",3,0,0,0,1,0
"criminal",2,0,0,0,1,0
"criminals",1,0,0,0,1,0
"culminated",1,0,0,0,1,0
"currently",1,0,0,0,1,0
"cut",1,0,1,0,1,0
"day",1,1,0,1,1,0
"dea",3,0,0,0,1,0
"dealerships",1,0,0,0,1,0
"decade",2,0,0,0,1,0
"decades",1,0,0,0,1,0
"decision",1,0,1,0,1,0
"dedicated",1,0,0,0,1,0
"defense",2,0,0,0,1,0
"degree",1,0,0,0,1,0
"demise",1,0,0,0,1,0
"democracies",2,0,0,0,1,0
"deny",1,0,0,0,1,0
"department",12,0,0,0,1,0
"derailing",1,0,0,0,1,0
"designate",1,0,0,0,1,0
"designation",2,0,0,0,1,0
"designations",2,0,0,0,1,0
"despite",2,1,0,0,1,0
"details",1,0,0,0,1,0
"developed",1,0,0,0,1,0
"disrupt",1,0,0,0,1,0
"disrupting",1,0,0,0,1,0
"diversified",1,0,0,0,1,0
"document",1,0,0,0,1,1
"documented",2,0,0,0,1,0
"documents",1,0,0,0,1,0
"domestic",1,0,0,0,1,0
"donald",1,1,1,0,1,0
"door",1,0,0,0,1,0
"doubt",1,0,0,0,1,0
"dozens",1,0,0,0,1,0
"drug",9,0,0,0,1,0
"dump",1,0,0,0,1,0
"economic",1,1,2,0,1,0
"economy",1,1,1,0,1,0
"editors",2,0,0,0,1,0
"effective",1,0,0,0,1,0
"effectively",1,0,0,0,1,0
"effort",2,0,0,0,1,0
"efforts",1,0,0,0,1,0
"eightyear",1,0,0,0,1,0
"elites",1,0,0,0,1,0
"email",1,0,0,0,1,0
"emanuele",1,0,0,0,1,0
"enablers",1,0,0,0,1,0
"enforcement",1,0,0,0,1,0
"engage",1,1,0,0,1,0
"enormous",1,0,0,0,1,0
"enough",3,1,0,0,1,0
"entire",1,0,0,0,1,0
"entities",1,0,0,0,1,0
"entry",1,0,0,0,1,0
"envigado",1,0,0,0,1,0
"eottolenghi",1,0,0,0,1,0
"erupts",1,0,0,0,1,0
"established",1,0,0,0,1,0
"estimated",2,0,0,0,1,0
"even",2,0,0,4,1,0
"events",2,0,0,0,1,0
"evidence",4,2,0,0,1,0
"exchange",3,0,1,0,1,0
"exchange’s",1,0,0,0,1,0
"exclusive",2,0,0,0,1,0
"expanded",2,0,0,0,1,0
"expansive",1,0,0,0,1,0
"expert",1,0,0,0,1,0
"experts",1,0,0,0,1,0
"explosions",1,0,0,0,1,0
"exporting",1,0,0,0,1,0
